epidemiological_week,date,order_for_place,state,city,city_ibge_code,place_type,last_available_confirmed,last_available_confirmed_per_100k_inhabitants,new_confirmed,last_available_deaths,new_deaths,last_available_death_rate,estimated_population,is_last,is_repeated
202113,2021-04-03,368,SP,Itanhaém,3522109,city,3564,3456.77096,1,157,0,0.0441,103102,True,False
202113,2021-04-03,370,SP,Jandira,3525003,city,4197,3321.56763,8,157,0,0.0374,126356,True,False
202113,2021-04-02,375,PR,Telêmaco Borba,4127106,city,9860,12357.12853,88,157,2,0.0159,79792,True,False
202113,2021-04-01,364,RJ,Três Rios,3306008,city,7356,8955.22388,86,157,0,0.0213,82142,True,False
202112,2021-03-21,334,MG,Teófilo Otoni,3168606,city,7540,5349.90811,142,157,2,0.0208,140937,True,False
202113,2021-04-02,363,AM,Iranduba,1301852,city,8374,17085.96029,0,158,0,0.0189,49011,True,False
202113,2021-03-31,342,GO,Mineiros,5213103,city,7682,11271.53212,25,158,5,0.0206,68154,True,False
202113,2021-04-03,365,SP,Botucatu,3507506,city,10168,6864.24087,11,159,0,0.0156,148130,True,False
202113,2021-04-03,355,MT,Pontes e Lacerda,5106752,city,4273,9334.99366,4,161,2,0.0377,45774,True,False
202113,2021-04-03,367,SP,Dracena,3514403,city,3893,8275.40761,0,162,0,0.0416,47043,True,False
202113,2021-04-03,369,SP,Santa Isabel,3546801,city,4050,6986.85436,8,162,-1,0.04,57966,True,False
202113,2021-04-03,373,CE,Maranguape,2307700,city,8697,6672.24157,28,163,0,0.0187,130346,True,False
202113,2021-04-01,366,ES,Aracruz,3200607,city,11723,11370.40378,62,163,1,0.0139,103101,True,False
202113,2021-04-03,362,PE,Igarassu,2606804,city,2028,1713.27194,11,164,2,0.0809,118370,True,False
202113,2021-04-02,355,PR,Apucarana,4101408,city,4884,3585.00815,19,165,10,0.0338,136234,True,False
202113,2021-04-02,358,AM,Tefé,1304203,city,8139,13668.19487,14,166,1,0.0204,59547,True,False
202114,2021-04-04,369,RS,Alegrete,4300406,city,5128,7021.96418,33,168,14,0.0328,73028,True,False
202113,2021-04-03,372,PE,São Lourenço da Mata,2613701,city,2705,2371.16384,2,168,1,0.0621,114079,True,False
202113,2021-03-31,363,GO,Senador Canedo,5220454,city,11176,9435.12507,149,168,5,0.015,118451,True,False
202112,2021-03-21,323,MG,Caratinga,3113404,city,5477,5914.49521,49,168,0,0.0307,92603,True,False
202113,2021-04-03,360,PE,Abreu e Lima,2600054,city,1909,1902.41763,3,170,2,0.0891,100346,True,False
202112,2021-03-21,345,MG,Ibirité,3129806,city,6845,3757.82996,2,171,0,0.025,182153,True,False
202113,2021-04-03,370,PB,Patos,2510808,city,10089,9325.08873,37,172,1,0.017,108192,True,False
202113,2021-04-03,355,SP,Leme,3526704,city,6321,6057.73101,7,172,0,0.0272,104346,True,False
202113,2021-04-03,375,SP,Caieiras,3509007,city,5400,5254.19606,1,173,1,0.032,102775,True,False
202113,2021-04-02,365,PR,Piraquara,4119509,city,8615,7493.25911,49,174,0,0.0202,114970,True,False
202113,2021-04-02,338,RO,Guajará-Mirim,1100106,city,5023,10789.15714,4,174,2,0.0346,46556,True,False
202113,2021-04-03,374,SP,Tatuí,3554003,city,4851,3944.96084,8,175,0,0.0361,122967,True,False
202113,2021-04-01,364,RJ,Araruama,3300209,city,4088,3044.09016,18,175,5,0.0428,134293,True,False
202113,2021-04-03,369,PA,Tucuruí,1508100,city,4536,3939.41499,0,176,0,0.0388,115144,True,False
202113,2021-04-02,363,RO,Vilhena,1100304,city,10027,9810.09872,41,176,3,0.0176,102211,True,False
202112,2021-03-21,379,MG,Divinópolis,3122306,city,7890,3281.92073,0,176,1,0.0223,240408,True,False
202113,2021-04-03,366,SP,Atibaia,3504107,city,7538,5231.52518,6,177,0,0.0235,144088,True,False
202113,2021-04-01,369,ES,São Mateus,3204906,city,8240,6212.21031,47,177,0,0.0215,132642,True,False
202113,2021-04-03,354,SP,Mogi Mirim,3530805,city,6342,6772.02349,3,178,0,0.0281,93650,True,False
202112,2021-03-21,345,MG,Ituiutaba,3134202,city,7733,7346.91939,29,178,0,0.023,105255,True,False
202113,2021-03-31,369,GO,Águas Lindas de Goiás,5200258,city,5882,2701.90815,3,179,0,0.0304,217698,True,False
202113,2021-04-03,374,SP,Arujá,3503901,city,4851,5321.58803,3,180,0,0.0371,91157,True,False
202113,2021-04-03,355,SP,Lins,3527108,city,6122,7798.42809,2,181,0,0.0296,78503,True,False
202113,2021-04-03,362,SP,Salto,3545209,city,6252,5221.48727,23,181,0,0.029,119736,True,False
202112,2021-03-21,366,MG,Importados/Indefinidos,,city,4266,,0,181,1,0.0424,,True,False
202112,2021-03-21,370,MG,Coronel Fabriciano,3119401,city,9260,8396.04679,0,183,1,0.0198,110290,True,False
202113,2021-04-02,373,BA,Alagoinhas,2900702,city,10151,6663.95321,54,184,1,0.0181,152327,True,False
202114,2021-04-04,391,RS,Campo Bom,4303905,city,8221,11835.92963,0,186,0,0.0226,69458,True,False
202113,2021-04-02,367,PR,Fazenda Rio Grande,4107652,city,8879,8704.56061,94,186,2,0.0209,102004,True,False
202112,2021-03-21,358,MG,Santa Luzia,3157807,city,5457,2475.45862,0,186,1,0.0341,220444,True,False
202113,2021-04-03,366,MA,São José de Ribamar,2111201,city,1876,1047.88078,11,187,1,0.0997,179028,True,False
202113,2021-04-03,361,PB,Bayeux,2501807,city,5226,5376.37727,29,188,2,0.036,97203,True,False
202113,2021-04-02,373,SC,Itapema,4208302,city,9439,14017.34533,19,188,1,0.0199,67338,True,False
